País,flag
África do Sul,🇿🇦
Albania,🇦🇱
Alemanha,🇩🇪
Andorra,🇦🇩
Angola,🇦🇴
Arábia Saudita,🇸🇦
Argélia,🇩🇿
Argentina,🇦🇷
Armênia,🇦🇲
Austrália,🇦🇺
Áustria,🇦🇹
Azerbaijão,🇦🇿
Bahrein,🇧🇭
Bélgica,🇧🇪
Benin,🇧🇯
Bielorússia,🇧🇾
Bolívia,🇧🇴
Bósnia,🇧🇦
Botsuana,🇧🇼
Brasil,🇧🇷
Bulgária,🇧🇬
Burkina Faso,🇧🇫
Cabo Verde,🇨🇻
Camarões,🇨🇲
Canadá,🇨🇦
Cazaquistão,🇰🇿
Chade,🇹🇩
Chile,🇨🇱
China,🇨🇳
Chipre,🇨🇾
Colômbia,🇨🇴
Congo,🇨🇬
Coréia do Norte,🇰🇵
Coréia do Sul,🇰🇷
Costa do Marfim,🇨🇮
Costa Rica,🇨🇷
Croácia,🇭🇷
Dinamarca,🇩🇰
Egito,🇪🇬
El Salvador,🇸🇻
Equador,🇪🇨
Escócia,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Eslováquia,🇸🇰
Eslovênia,🇸🇮
Espanha,🇪🇸
Estados Unidos,🇺🇸
Estônia,🇪🇪
Fiji,🇫🇯
Finlândia,🇫🇮
França,🇫🇷
Gabão,🇬🇦
Gales,🏴󠁧󠁢󠁷󠁬󠁳󠁿
Gana,🇬🇭
Geórgia,🇬🇪
Grécia,🇬🇷
Guatemala,🇬🇹
Guiné,🇬🇳
Holanda,🇳🇱
Honduras,🇭🇳
Hong Kong,🇭🇰
Hungria,🇭🇺
Ilhas Faroe,🇫🇴
Ilhas Salomão,🇸🇧
Índia,🇮🇳
Inglaterra,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Irã,🇮🇷
Iraque,🇮🇶
Irlanda,🇮🇪
Irlanda do Norte,🇬🇧
Islândia,🇮🇸
Israel,🇮🇱
Italia,🇮🇹
Jamaica,🇯🇲
Japão,🇯🇵
Kwait,🇰🇼
Letônia,🇱🇻
Libéria,🇱🇷
Líbia,🇱🇾
Liechenstein,🇱🇮
Lituânia,🇱🇹
Luxemburgo,🇱🇺
Macedônia,🇲🇰
Malawi,🇲🇼
Mali,🇲🇱
Malta,🇲🇹
Marrocos,🇲🇦
México,🇲🇽
Moldávia,🇲🇩
Nicarágua,🇳🇮
Níger,🇳🇪
Nigéria,🇳🇬
Noruega,🇳🇴
Nova Zelândia,🇳🇿
Panamá,🇵🇦
Paquistão,🇵🇰
Paraguai,🇵🇾
Peru,🇵🇪
Polônia,🇵🇱
Portugal,🇵🇹
Quênia,🇰🇪
RD do Congo,🇨🇩
Rep Tcheca,🇨🇿
Romênia,🇷🇴
Ruanda,🇷🇼
Rússia,🇷🇺
San Marino,🇸🇲
São Cristóvão,🇰🇳
Senegal,🇸🇳
Sérvia,🇷🇸
St Vicente,🇻🇨
Sudão,🇸🇩
Suécia,🇸🇪
Suiça,🇨🇭
Taiti,🇵🇫
Togo,🇹🇬
Trinidad e Tobago,🇹🇹
Tunísia,🇹🇳
Turquia,🇹🇷
Ucrânia,🇺🇦
Uganda,🇺🇬
Uruguai,🇺🇾
Uzbequistão,🇺🇿
Vanuatu,🇻🇺
Venezuela,🇻🇪
Vietnã,🇻🇳
Zâmbia,🇿🇲
Zimbábue,🇿🇼
