Ano,Jogo,Time1,p1,p2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data
1,104,Inglaterra,1,0,Alemanha,Copa,Final,,,,,
1,103,Coréia do Sul,2,1,Irã,Copa,D. 3º Lugar,1,1,,,
1,102,Alemanha,1,0,Irã,Copa,Semi-final,,,,,
1,101,Coréia do Sul,0,2,Inglaterra,Copa,Semi-final,,,,,
1,100,Brasil,0,2,Irã,Copa,4as-de-final,,,,,
1,99,Alemanha,4,1,Jamaica,Copa,4as-de-final,,,,,
1,98,Inglaterra,1,0,Austrália,Copa,4as-de-final,,,,,
1,97,França,1,2,Coréia do Sul,Copa,4as-de-final,1,1,,,
1,96,Coréia do Sul,3,1,Rússia,Copa,3ª rodada,,,,,
1,95,Inglaterra,2,1,Marrocos,Copa,3ª rodada,,,,,
1,94,Jamaica,1,1,Áustria,Copa,3ª rodada,,,,,
1,93,Brasil,1,0,Rep Tcheca,Copa,3ª rodada,,,,,
1,92,Irã,1,1,Camarões,Copa,3ª rodada,,,,,
1,91,Alemanha,1,2,Suécia,Copa,3ª rodada,,,,,
1,90,Austrália,4,1,Portugal,Copa,3ª rodada,,,,,
1,89,Chile,0,1,França,Copa,3ª rodada,,,,,
1,88,Coréia do Sul,2,1,Marrocos,Copa,2ª rodada,,,,,
1,87,Inglaterra,1,0,Rússia,Copa,2ª rodada,,,,,
1,86,Jamaica,2,0,Rep Tcheca,Copa,2ª rodada,,,,,
1,85,Brasil,1,0,Áustria,Copa,2ª rodada,,,,,
1,84,Irã,2,1,Suécia,Copa,2ª rodada,,,,,
1,83,Alemanha,4,1,Camarões,Copa,2ª rodada,,,,,
1,82,Austrália,1,1,França,Copa,2ª rodada,,,,,
1,81,Chile,3,0,Portugal,Copa,2ª rodada,,,,,
1,80,Rússia,2,1,Marrocos,Copa,1ª rodada,,,,,
1,79,Inglaterra,1,0,Coréia do Sul,Copa,1ª rodada,,,,,
1,78,Áustria,1,1,Rep Tcheca,Copa,1ª rodada,,,,,
1,77,Brasil,3,0,Jamaica,Copa,1ª rodada,,,,,
1,76,Camarões,2,0,Suécia,Copa,1ª rodada,,,,,
1,75,Alemanha,2,1,Irã,Copa,1ª rodada,,,,,
1,74,Portugal,1,2,França,Copa,1ª rodada,,,,,
1,73,Chile,1,1,Austrália,Copa,1ª rodada,,,,,
1,72,Estados Unidos,0,1,Colômbia,Eliminatórias,Repescagem,,,,,
1,71,Austrália,2,1,Colômbia,Eliminatórias,Repescagem,,,,,
1,70,Austrália,0,0,Estados Unidos,Eliminatórias,Repescagem,,,,,
1,69,Austrália,1,0,Nova Zelândia,Eliminatórias,OFC-1r,0,0,,,
1,68,Marrocos,1,0,Nigéria,Eliminatórias,CAF-3r,,,,,
1,67,Camarões,1,1,Tunísia,Eliminatórias,CAF-3r,,,,,
1,66,Marrocos,2,2,Tunísia,Eliminatórias,CAF-2r,,,,,
1,65,Camarões,2,1,Nigéria,Eliminatórias,CAF-2r,,,,,
1,64,Nigéria,3,3,Tunísia,Eliminatórias,CAF-1r,,,,,
1,63,Camarões,1,4,Marrocos,Eliminatórias,CAF-1r,,,,,
1,62,Estados Unidos,1,1,Jamaica,Eliminatórias,CONCACAF-4r,1,1,3,5,
1,61,St Vicente,0,1,Jamaica,Eliminatórias,CONCACAF-3r,,,,,
1,60,México,2,2,Jamaica,Eliminatórias,CONCACAF-2r,,,,,
1,59,Estados Unidos,1,0,Barbados,Eliminatórias,CONCACAF-2r,,,,,
1,58,México,2,2,St Vicente,Eliminatórias,CONCACAF-1r,,,,,
1,57,Estados Unidos,4,0,Panamá,Eliminatórias,CONCACAF-1r,,,,,
1,56,Colômbia,3,0,Venezuela,Eliminatórias,CONMEBOL-3r,,,,,
1,55,Brasil,1,1,Bolívia,Eliminatórias,CONMEBOL-3r,,,,,
1,54,Paraguai,0,1,Equador,Eliminatórias,CONMEBOL-3r,,,,,
1,53,Argentina,2,4,Chile,Eliminatórias,CONMEBOL-3r,,,,,
1,52,Colômbia,1,1,Bolívia,Eliminatórias,CONMEBOL-2r,,,,,
1,51,Brasil,0,0,Venezuela,Eliminatórias,CONMEBOL-2r,,,,,
1,50,Paraguai,0,1,Chile,Eliminatórias,CONMEBOL-2r,,,,,
1,49,Argentina,2,1,Equador,Eliminatórias,CONMEBOL-2r,,,,,
1,48,Venezuela,1,1,Bolívia,Eliminatórias,CONMEBOL-1r,,,,,
1,47,Brasil,3,2,Colômbia,Eliminatórias,CONMEBOL-1r,,,,,
1,46,Equador,2,2,Chile,Eliminatórias,CONMEBOL-1r,,,,,
1,45,Argentina,0,1,Paraguai,Eliminatórias,CONMEBOL-1r,,,,,
1,44,Tailândia,0,4,Coréia do Sul,Eliminatórias,AFC-3r,,,,,
1,43,Tailândia,0,2,Irã,Eliminatórias,AFC-3r,,,,,
1,42,Coréia do Sul,3,1,Malásia,Eliminatórias,AFC-2r,,,,,
1,41,Qatar,2,1,Iraque,Eliminatórias,AFC-2r,1,1,,,
1,40,Japão,2,0,Indonésia,Eliminatórias,AFC-2r,,,,,
1,39,Índia,0,3,Irã,Eliminatórias,AFC-2r,,,,,
1,38,Camboja,0,2,Tailândia,Eliminatórias,AFC-2r,,,,,
1,37,Arábia Saudita,0,1,Líbano,Eliminatórias,AFC-2r,,,,,
1,36,Malásia,2,0,Vietnã,Eliminatórias,AFC-1r,,,,,
1,35,Coréia do Sul,3,1,Guam,Eliminatórias,AFC-1r,,,,,
1,34,China,0,2,Iraque,Eliminatórias,AFC-1r,,,,,
1,33,Qatar,2,0,Quirguistão,Eliminatórias,AFC-1r,,,,,
1,32,Mongólia,0,1,Indonésia,Eliminatórias,AFC-1r,,,,,
1,31,Japão,3,2,Paquistão,Eliminatórias,AFC-1r,,,,,
1,30,Irã,2,1,Iêmen,Eliminatórias,AFC-1r,1,1,,,
1,29,Índia,1,1,Tajikistão,Eliminatórias,AFC-1r,1,1,1,0,
1,28,Hong Kong,1,2,Tailândia,Eliminatórias,AFC-1r,1,1,,,
1,27,Emirados Árabes,0,1,Camboja,Eliminatórias,AFC-1r,,,,,
1,26,Bangladesh,0,2,Líbano,Eliminatórias,AFC-1r,,,,,
1,25,Arábia Saudita,2,1,Laos,Eliminatórias,AFC-1r,,,,,
1,24,Suécia,2,0,Suiça,Eliminatórias,UEFA-2r,,,,,
1,23,Portugal,4,0,Irlanda,Eliminatórias,UEFA-2r,,,,,
1,22,Italia,1,2,Rep Tcheca,Eliminatórias,UEFA-2r,,,,,
1,21,Inglaterra,2,0,Grécia,Eliminatórias,UEFA-2r,,,,,
1,20,Holanda,1,1,Rússia,Eliminatórias,UEFA-2r,1,1,3,4,
1,19,França,3,2,Bulgária,Eliminatórias,UEFA-2r,2,2,,,
1,18,Espanha,1,2,Áustria,Eliminatórias,UEFA-2r,,,,,
1,17,Alemanha,2,1,Croácia,Eliminatórias,UEFA-2r,,,,,
1,16,Suiça,1,0,Armênia,Eliminatórias,UEFA-1r,,,,,
1,15,Suécia,2,1,Sérvia,Eliminatórias,UEFA-1r,1,1,,,
1,14,Irlanda,2,0,Noruega,Eliminatórias,UEFA-1r,,,,,
1,13,Portugal,2,0,Liechenstein,Eliminatórias,UEFA-1r,,,,,
1,12,Rep Tcheca,3,1,Hungria,Eliminatórias,UEFA-1r,,,,,
1,11,Italia,2,1,Gales,Eliminatórias,UEFA-1r,1,1,,,
1,10,Islândia,2,4,Grécia,Eliminatórias,UEFA-1r,,,,,
1,9,Inglaterra,3,2,Irlanda do Norte,Eliminatórias,UEFA-1r,,,,,
1,8,Azerbaijão,0,6,Rússia,Eliminatórias,UEFA-1r,,,,,
1,7,Holanda,2,1,Dinamarca,Eliminatórias,UEFA-1r,,,,,
1,6,Bulgária,4,3,Estônia,Eliminatórias,UEFA-1r,,,,,
1,5,França,4,3,Eslováquia,Eliminatórias,UEFA-1r,3,3,,,
1,4,Áustria,4,1,Luxemburgo,Eliminatórias,UEFA-1r,,,,,
1,3,Espanha,2,1,Bélgica,Eliminatórias,UEFA-1r,,,,,
1,2,Croácia,3,2,Romênia,Eliminatórias,UEFA-1r,,,,,
1,1,Alemanha,2,1,Escócia,Eliminatórias,UEFA-1r,,,,,
