Ano,Jogo,Time1,p1,p2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data,Estadio,Pais
18,172,Alemanha,2,0,Finlândia,Copa,Final,,,,,,,
18,171,Escócia,2,2,Argentina,Copa,D. 3º Lugar,2,2,4,3,,,
18,170,Argentina,0,1,Finlândia,Copa,Semi-final,,,,,,,
18,169,Escócia,1,3,Alemanha,Copa,Semi-final,,,,,,,
18,168,Finlândia,1,0,Brasil,Copa,4as-de-final,,,,,,,
18,167,Argentina,3,0,Islândia,Copa,4as-de-final,,,,,,,
18,166,Alemanha,2,0,Marrocos,Copa,4as-de-final,,,,,,,
18,165,Escócia,2,1,Portugal,Copa,4as-de-final,,,,,,,
18,164,Japão,2,3,Brasil,Copa,8vas-de-final,2,2,,,,,
18,163,Suécia,1,2,Islândia,Copa,8vas-de-final,,,,,,,
18,162,Finlândia,3,2,Holanda,Copa,8vas-de-final,,,,,,,
18,161,Croácia,1,2,Argentina,Copa,8vas-de-final,1,1,,,,,
18,160,Panamá,3,4,Marrocos,Copa,8vas-de-final,3,3,,,,,
18,159,Austrália,1,2,Portugal,Copa,8vas-de-final,,,,,,,
18,158,Alemanha,3,1,França,Copa,8vas-de-final,,,,,,,
18,157,Escócia,1,0,Equador,Copa,8vas-de-final,0,0,,,,,
18,156,Brasil,3,0,Fiji,Copa,16-avos-de-final,,,,,,,
18,155,Inglaterra,0,1,Islândia,Copa,16-avos-de-final,,,,,,,
18,154,Japão,1,0,Ucrânia,Copa,16-avos-de-final,,,,,,,
18,153,Suécia,2,1,Angola,Copa,16-avos-de-final,,,,,,,
18,152,Geórgia,2,3,Holanda,Copa,16-avos-de-final,,,,,,,
18,151,Colômbia,1,2,Argentina,Copa,16-avos-de-final,,,,,,,
18,150,Finlândia,2,0,Costa do Marfim,Copa,16-avos-de-final,,,,,,,
18,149,Croácia,3,2,México,Copa,16-avos-de-final,,,,,,,
18,148,Marrocos,2,1,Paquistão,Copa,16-avos-de-final,,,,,,,
18,147,Rep Tcheca,1,3,Portugal,Copa,16-avos-de-final,,,,,,,
18,146,Suiça,0,2,Panamá,Copa,16-avos-de-final,,,,,,,
18,145,Espanha,0,2,Austrália,Copa,16-avos-de-final,,,,,,,
18,144,França,4,1,Sérvia,Copa,16-avos-de-final,,,,,,,
18,143,Jamaica,1,2,Equador,Copa,16-avos-de-final,,,,,,,
18,142,Rússia,0,2,Alemanha,Copa,16-avos-de-final,,,,,,,
18,141,Escócia,3,2,Paraguai,Copa,16-avos-de-final,,,,,,,
18,140,Brasil,3,2,Estados Unidos,Copa,3ª rodada,,,,,,,
18,139,Trinidad e Tobago,2,3,Fiji,Copa,3ª rodada,,,,,,,
18,138,Japão,2,1,Bulgária,Copa,3ª rodada,,,,,,,
18,137,Ucrânia,5,0,Coréia do Sul,Copa,3ª rodada,,,,,,,
18,136,Argentina,2,1,Geórgia,Copa,3ª rodada,,,,,,,
18,135,Iraque,1,3,Holanda,Copa,3ª rodada,,,,,,,
18,134,México,3,2,Zâmbia,Copa,3ª rodada,,,,,,,
18,133,Croácia,2,2,Costa do Marfim,Copa,3ª rodada,,,,,,,
18,132,Portugal,4,0,Irã,Copa,3ª rodada,,,,,,,
18,131,Rep Tcheca,2,0,Paquistão,Copa,3ª rodada,,,,,,,
18,130,Suiça,3,1,Camarões,Copa,3ª rodada,,,,,,,
18,129,Panamá,1,0,Lituânia,Copa,3ª rodada,,,,,,,
18,128,França,2,0,Taiti,Copa,3ª rodada,,,,,,,
18,127,Jamaica,1,2,Bélgica,Copa,3ª rodada,,,,,,,
18,126,Rússia,2,1,Paraguai,Copa,3ª rodada,,,,,,,
18,125,Congo,1,2,Escócia,Copa,3ª rodada,,,,,,,
18,124,Islândia,2,2,Estados Unidos,Copa,2ª rodada,,,,,,,
18,123,Inglaterra,2,2,Fiji,Copa,2ª rodada,,,,,,,
18,122,Angola,1,0,Bulgária,Copa,2ª rodada,,,,,,,
18,121,Suécia,1,1,Coréia do Sul,Copa,2ª rodada,,,,,,,
18,120,Nigéria,1,3,Geórgia,Copa,2ª rodada,,,,,,,
18,119,Colômbia,3,2,Holanda,Copa,2ª rodada,,,,,,,
18,118,Finlândia,4,1,Zâmbia,Copa,2ª rodada,,,,,,,
18,117,Italia,0,1,Costa do Marfim,Copa,2ª rodada,,,,,,,
18,116,Marrocos,1,1,Irã,Copa,2ª rodada,,,,,,,
18,115,Uruguai,1,2,Paquistão,Copa,2ª rodada,,,,,,,
18,114,Austrália,1,1,Camarões,Copa,2ª rodada,,,,,,,
18,113,Espanha,1,1,Lituânia,Copa,2ª rodada,,,,,,,
18,112,Equador,2,1,Taiti,Copa,2ª rodada,,,,,,,
18,111,Sérvia,3,1,Bélgica,Copa,2ª rodada,,,,,,,
18,110,Honduras,2,2,Paraguai,Copa,2ª rodada,,,,,,,
18,109,Alemanha,0,1,Escócia,Copa,2ª rodada,,,,,,,
18,108,Brasil,1,1,Islândia,Copa,1ª rodada,,,,,,,
18,107,Inglaterra,2,0,Trinidad e Tobago,Copa,1ª rodada,,,,,,,
18,106,Japão,3,1,Angola,Copa,1ª rodada,,,,,,,
18,105,Suécia,2,0,Ucrânia,Copa,1ª rodada,,,,,,,
18,104,Argentina,1,2,Nigéria,Copa,1ª rodada,,,,,,,
18,103,Colômbia,4,0,Iraque,Copa,1ª rodada,,,,,,,
18,102,México,1,1,Finlândia,Copa,1ª rodada,,,,,,,
18,101,Italia,1,2,Croácia,Copa,1ª rodada,,,,,,,
18,100,Portugal,0,1,Marrocos,Copa,1ª rodada,,,,,,,
18,99,Uruguai,1,1,Rep Tcheca,Copa,1ª rodada,,,,,,,
18,98,Suiça,2,1,Austrália,Copa,1ª rodada,,,,,,,
18,97,Espanha,2,0,Panamá,Copa,1ª rodada,,,,,,,
18,96,França,4,1,Equador,Copa,1ª rodada,,,,,,,
18,95,Sérvia,0,2,Jamaica,Copa,1ª rodada,,,,,,,
18,94,Rússia,3,1,Honduras,Copa,1ª rodada,,,,,,,
18,93,Alemanha,2,0,Congo,Copa,1ª rodada,,,,,,,
18,92,Islândia,2,2,Israel,Eliminatórias,UEFA-3r,,,,,,,
18,91,Bulgária,2,2,Eslováquia,Eliminatórias,UEFA-3r,,,,,,,
18,90,Polônia,1,2,Suécia,Eliminatórias,UEFA-3r,,,,,,,
18,89,Bósnia,2,2,Lituânia,Eliminatórias,UEFA-3r,,,,,,,
18,88,Finlândia,2,0,Moldávia,Eliminatórias,UEFA-3r,,,,,,,
18,87,Paraguai,1,1,Venezuela,Eliminatórias,CONMEBOL-3r,,,,,,,
18,86,Chile,1,2,Colômbia,Eliminatórias,CONMEBOL-3r,,,,,,,
18,85,Marrocos,1,0,Sudão,Eliminatórias,CAF-3r,,,,,,,
18,84,Angola,2,2,RD do Congo,Eliminatórias,CAF-3r,,,,,,,
18,83,Camarões,2,2,Egito,Eliminatórias,CAF-3r,,,,,,,
