Ano,Jogo,Time1,desc1,p1,p2,desc2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data,Estadio,Pais,peso
20,1,Islândia,,,,,Liechenstein,Eliminatórias,Pre-EURO,,,,,11/09/2021 16:00,,,1
20,2,Bósnia,,,,,Áustria,Eliminatórias,Pre-EURO,,,,,11/09/2021 16:00,,,1
20,3,Bulgária,,,,,Grécia,Eliminatórias,Pre-EURO,,,,,11/09/2021 16:00,,,1
20,4,Irlanda,,,,,Irlanda do Norte,Eliminatórias,Pre-EURO,,,,,11/09/2021 16:00,,,1
20,5,Ucrânia,,,,,Moldávia,Eliminatórias,Pre-EURO,,,,,12/09/2021 16:00,,,1
20,6,Dinamarca,,,,,Lituânia,Eliminatórias,Pre-EURO,,,,,12/09/2021 16:00,,,1
20,7,Rep Tcheca,,,,,Eslováquia,Eliminatórias,Pre-EURO,,,,,12/09/2021 16:00,,,1
20,8,Holanda,,,,,Israel,Eliminatórias,Pre-EURO,,,,,12/09/2021 16:00,,,1
20,9,Angola,,,,,Congo,Eliminatórias,Pre-AFRICA,,,,,13/09/2021 16:00,,,1
20,10,RD do Congo,,,,,Ruanda,Eliminatórias,Pre-AFRICA,,,,,13/09/2021 16:00,,,1
20,11,Zâmbia,,,,,África do Sul,Eliminatórias,Pre-AFRICA,,,,,13/09/2021 16:00,,,1
20,12,Mali,,,,,Sudão,Eliminatórias,Pre-AFRICA,,,,,13/09/2021 16:00,,,1
20,13,Hong Kong,,,,,Índia,Eliminatórias,Pre-ASIA,,,,,14/09/2021 07:00,,,1
20,14,China,,,,,Iraque,Eliminatórias,Pre-ASIA,,,,,14/09/2021 07:00,,,1
20,15,Paquistão,,,,,Bahrein,Eliminatórias,Pre-ASIA,,,,,14/09/2021 07:00,,,1
20,16,Coréia do Norte,,,,,Kwait,Eliminatórias,Pre-ASIA,,,,,14/09/2021 07:00,,,1
20,17,Honduras,,,,,El Salvador,Eliminatórias,Pre-AMERICA,,,,,15/09/2021 19:00,,,1
20,18,Uruguai,,,,,Trinidad e Tobago,Eliminatórias,Pre-AMERICA,,,,,15/09/2021 19:00,,,1
20,19,Venezuela,,,,,Peru,Eliminatórias,Pre-AMERICA,,,,,15/09/2021 19:00,,,1
20,20,México,,,,,Estados Unidos,Eliminatórias,Pre-AMERICA,,,,,15/09/2021 19:00,,,1
20,21,,p1A-EUR,,,p2A-EUR,,Taça EUROPA,1ª rodada,,,,,25/09/2021 13:00,Cardiff,Gales,2
20,22,,p1B-EUR,,,p2B-EUR,,Taça EUROPA,1ª rodada,,,,,25/09/2021 13:00,Swansea,Gales,2
20,23,,p1C-EUR,,,p2C-EUR,,Taça EUROPA,1ª rodada,,,,,25/09/2021 16:00,Cardiff,Gales,2
20,24,,p1D-EUR,,,p2D-EUR,,Taça EUROPA,1ª rodada,,,,,25/09/2021 16:00,Swansea,Gales,2
20,25,,p1E-EUR,,,p2E-EUR,,Taça EUROPA,1ª rodada,,,,,26/09/2021 13:00,Cardiff,Gales,2
20,26,,p1F-EUR,,,p2F-EUR,,Taça EUROPA,1ª rodada,,,,,26/09/2021 13:00,Swansea,Gales,2
20,27,,p1G-EUR,,,p2G-EUR,,Taça EUROPA,1ª rodada,,,,,26/09/2021 16:00,Cardiff,Gales,2
20,28,,p1H-EUR,,,p2H-EUR,,Taça EUROPA,1ª rodada,,,,,26/09/2021 16:00,Swansea,Gales,2
20,29,,p1A-AFR,,,p2A-AFR,,Taça ÁFRICA,1ª rodada,,,,,27/09/2021 13:00,Casablanca,Marrocos,2
20,30,,p1B-AFR,,,p2B-AFR,,Taça ÁFRICA,1ª rodada,,,,,27/09/2021 13:00,Rabat,Marrocos,2
20,31,,p1C-AFR,,,p2C-AFR,,Taça ÁFRICA,1ª rodada,,,,,27/09/2021 16:00,Casablanca,Marrocos,2
20,32,,p1D-AFR,,,p2D-AFR,,Taça ÁFRICA,1ª rodada,,,,,27/09/2021 16:00,Rabat,Marrocos,2
20,33,,p1A-ASO,,,p2A-ASO,,Taça ÁSIAOCE,1ª rodada,,,,,28/09/2021 04:00,Yokohama,Japão,2
20,34,,p1B-ASO,,,p2B-ASO,,Taça ÁSIAOCE,1ª rodada,,,,,28/09/2021 04:00,Saitama,Japão,2
20,35,,p1C-ASO,,,p2C-ASO,,Taça ÁSIAOCE,1ª rodada,,,,,28/09/2021 07:00,Yokohama,Japão,2
20,36,,p1D-ASO,,,p2D-ASO,,Taça ÁSIAOCE,1ª rodada,,,,,28/09/2021 07:00,Saitama,Japão,2
20,37,,p1A-AME,,,p2A-AME,,Taça AMÉRICA,1ª rodada,,,,,28/09/2021 16:00,Santiago,Chile,2
20,38,,p1B-AME,,,p2B-AME,,Taça AMÉRICA,1ª rodada,,,,,28/09/2021 16:00,Concepción,Chile,2
20,39,,p1C-AME,,,p2C-AME,,Taça AMÉRICA,1ª rodada,,,,,28/09/2021 19:00,Santiago,Chile,2
20,40,,p1D-AME,,,p2D-AME,,Taça AMÉRICA,1ª rodada,,,,,28/09/2021 19:00,Concepción,Chile,2
20,41,,p1A-EUR,,,p3A-EUR,,Taça EUROPA,2ª rodada,,,,,29/09/2021 13:00,Cardiff,Gales,2
20,42,,p2B-EUR,,,p3B-EUR,,Taça EUROPA,2ª rodada,,,,,29/09/2021 13:00,Swansea,Gales,2
20,43,,p1C-EUR,,,p3C-EUR,,Taça EUROPA,2ª rodada,,,,,29/09/2021 16:00,Cardiff,Gales,2
20,44,,p2D-EUR,,,p3D-EUR,,Taça EUROPA,2ª rodada,,,,,29/09/2021 16:00,Swansea,Gales,2
20,45,,p1E-EUR,,,p3E-EUR,,Taça EUROPA,2ª rodada,,,,,30/09/2021 13:00,Cardiff,Gales,2
20,46,,p2F-EUR,,,p3F-EUR,,Taça EUROPA,2ª rodada,,,,,30/09/2021 13:00,Swansea,Gales,2
20,47,,p1G-EUR,,,p3G-EUR,,Taça EUROPA,2ª rodada,,,,,30/09/2021 16:00,Cardiff,Gales,2
20,48,,p2H-EUR,,,p3H-EUR,,Taça EUROPA,2ª rodada,,,,,30/09/2021 16:00,Swansea,Gales,2
20,49,,p1A-AFR,,,p3A-AFR,,Taça ÁFRICA,2ª rodada,,,,,01/10/2021 13:00,Casablanca,Marrocos,2
20,50,,p2B-AFR,,,p3B-AFR,,Taça ÁFRICA,2ª rodada,,,,,01/10/2021 13:00,Rabat,Marrocos,2
20,51,,p1C-AFR,,,p3C-AFR,,Taça ÁFRICA,2ª rodada,,,,,01/10/2021 16:00,Casablanca,Marrocos,2
20,52,,p2D-AFR,,,p3D-AFR,,Taça ÁFRICA,2ª rodada,,,,,01/10/2021 16:00,Rabat,Marrocos,2
20,53,,p1A-ASO,,,p3A-ASO,,Taça ÁSIAOCE,2ª rodada,,,,,02/10/2021 04:00,Yokohama,Japão,2
20,54,,p2B-ASO,,,p3B-ASO,,Taça ÁSIAOCE,2ª rodada,,,,,02/10/2021 04:00,Saitama,Japão,2
20,55,,p1C-ASO,,,p3C-ASO,,Taça ÁSIAOCE,2ª rodada,,,,,02/10/2021 07:00,Yokohama,Japão,2
20,56,,p2D-ASO,,,p3D-ASO,,Taça ÁSIAOCE,2ª rodada,,,,,02/10/2021 07:00,Saitama,Japão,2
20,57,,p1A-AME,,,p3A-AME,,Taça AMÉRICA,2ª rodada,,,,,02/10/2021 16:00,Santiago,Chile,2
20,58,,p2B-AME,,,p3B-AME,,Taça AMÉRICA,2ª rodada,,,,,02/10/2021 16:00,Concepción,Chile,2
