Ano,Jogo,Time1,desc1,p1,p2,desc2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data,Estadio,Pais,peso
20,121,,p1A,,,p2A,,Copa,1ª rodada,,,,,01/11/2021 12:00,Casablanca,Marrocos,3
20,122,,p3A,,,p4A,,Copa,1ª rodada,,,,,02/11/2021 09:00,Bel Abbès,Argélia,3
20,123,,p3B,,,p4B,,Copa,1ª rodada,,,,,02/11/2021 12:00,Algiers,Argélia,3
20,124,,p1B,,,p2B,,Copa,1ª rodada,,,,,02/11/2021 15:00,Agadir,Marrocos,3
20,125,,p1C,,,p2C,,Copa,1ª rodada,,,,,03/11/2021 07:00,Oran,Argélia,3
20,126,,p1D,,,p2D,,Copa,1ª rodada,,,,,03/11/2021 10:00,Annaba,Argélia,3
20,127,,p3C,,,p4C,,Copa,1ª rodada,,,,,03/11/2021 13:00,Rabat,Marrocos,3
20,128,,p3D,,,p4D,,Copa,1ª rodada,,,,,03/11/2021 16:00,Marrakech,Marrocos,3
20,129,,p3E,,,p4E,,Copa,1ª rodada,,,,,04/11/2021 09:00,Agadir,Marrocos,3
20,130,,p1F,,,p2F,,Copa,1ª rodada,,,,,04/11/2021 12:00,Bel Abbès,Argélia,3
20,131,,p1E,,,p2E,,Copa,1ª rodada,,,,,04/11/2021 15:00,Algiers,Argélia,3
20,132,,p3F,,,p4F,,Copa,1ª rodada,,,,,05/11/2021 09:00,Casablanca,Marrocos,3
20,133,,p1G,,,p2G,,Copa,1ª rodada,,,,,05/11/2021 12:00,Marrakech,Marrocos,3
20,134,,p3G,,,p4G,,Copa,1ª rodada,,,,,05/11/2021 15:00,Annaba,Argélia,3
20,135,,p3H,,,p4H,,Copa,1ª rodada,,,,,06/11/2021 09:00,Oran,Argélia,3
20,136,,p1H,,,p2H,,Copa,1ª rodada,,,,,06/11/2021 12:00,Rabat,Marrocos,3
20,137,,p1A,,,p3A,,Copa,2ª rodada,,,,,06/11/2021 15:00,Casablanca,Marrocos,3
20,138,,p1B,,,p3B,,Copa,2ª rodada,,,,,07/11/2021 09:00,Agadir,Marrocos,3
20,139,,p2A,,,p4A,,Copa,2ª rodada,,,,,07/11/2021 12:00,Bel Abbès,Argélia,3
20,140,,p4B,,,p2B,,Copa,2ª rodada,,,,,07/11/2021 15:00,Algiers,Argélia,3
20,141,,p2C,,,p4C,,Copa,2ª rodada,,,,,08/11/2021 09:00,Rabat,Marrocos,3
20,142,,p1C,,,p3C,,Copa,2ª rodada,,,,,08/11/2021 12:00,Oran,Argélia,3
20,143,,p1D,,,p3D,,Copa,2ª rodada,,,,,08/11/2021 15:00,Annaba,Argélia,3
20,144,,p1E,,,p3E,,Copa,2ª rodada,,,,,09/11/2021 09:00,Algiers,Argélia,3
20,145,,p2D,,,p4D,,Copa,2ª rodada,,,,,09/11/2021 12:00,Marrakech,Marrocos,3
20,146,,p2E,,,p4E,,Copa,2ª rodada,,,,,09/11/2021 15:00,Agadir,Marrocos,3
20,147,,p1G,,,p3G,,Copa,2ª rodada,,,,,10/11/2021 09:00,Marrakech,Marrocos,3
20,148,,p2F,,,p4F,,Copa,2ª rodada,,,,,10/11/2021 12:00,Casablanca,Marrocos,3
20,149,,p1F,,,p3F,,Copa,2ª rodada,,,,,10/11/2021 15:00,Bel Abbès,Argélia,3
20,150,,p2G,,,p4G,,Copa,2ª rodada,,,,,11/11/2021 09:00,Annaba,Argélia,3
20,151,,p2H,,,p4H,,Copa,2ª rodada,,,,,11/11/2021 12:00,Oran,Argélia,3
20,152,,p1H,,,p3H,,Copa,2ª rodada,,,,,11/11/2021 15:00,Rabat,Marrocos,3
20,153,,p1A,,,p4A,,Copa,3ª rodada,,,,,12/11/2021 11:00,Casablanca,Marrocos,4
20,154,,p2A,,,p3A,,Copa,3ª rodada,,,,,12/11/2021 11:00,Bel Abbès,Argélia,4
20,155,,p2B,,,p3B,,Copa,3ª rodada,,,,,12/11/2021 15:00,Algiers,Argélia,4
20,156,,p1B,,,p4B,,Copa,3ª rodada,,,,,12/11/2021 15:00,Agadir,Marrocos,4
20,157,,p2C,,,p3C,,Copa,3ª rodada,,,,,13/11/2021 11:00,Rabat,Marrocos,4
20,158,,p1C,,,p4C,,Copa,3ª rodada,,,,,13/11/2021 11:00,Oran,Argélia,4
20,159,,p1D,,,p4D,,Copa,3ª rodada,,,,,13/11/2021 15:00,Annaba,Argélia,4
20,160,,p2D,,,p3D,,Copa,3ª rodada,,,,,13/11/2021 15:00,Marrakech,Marrocos,4
20,161,,p1F,,,p4F,,Copa,3ª rodada,,,,,14/11/2021 11:00,Bel Abbès,Argélia,4
20,162,,p2F,,,p3F,,Copa,3ª rodada,,,,,14/11/2021 11:00,Casablanca,Marrocos,4
20,163,,p1E,,,p4E,,Copa,3ª rodada,,,,,14/11/2021 15:00,Algiers,Argélia,4
20,164,,p2E,,,p3E,,Copa,3ª rodada,,,,,14/11/2021 15:00,Agadir,Marrocos,4
20,165,,p1H,,,p4H,,Copa,3ª rodada,,,,,15/11/2021 11:00,Rabat,Marrocos,4
20,166,,p2H,,,p3H,,Copa,3ª rodada,,,,,15/11/2021 11:00,Oran,Argélia,4
20,167,,p1G,,,p4G,,Copa,3ª rodada,,,,,15/11/2021 15:00,Marrakech,Marrocos,4
20,168,,p2G,,,p3G,,Copa,3ª rodada,,,,,15/11/2021 15:00,Annaba,Argélia,4
20,169,,1A,,,2B,,Copa,8vas-de-final,,,,,17/11/2021 11:00,Casablanca,Marrocos,5
20,170,,1C,,,2D,,Copa,8vas-de-final,,,,,17/11/2021 15:00,Oran,Argélia,5
20,171,,1B,,,2A,,Copa,8vas-de-final,,,,,18/11/2021 11:00,Algiers,Argélia,5
20,172,,1D,,,2C,,Copa,8vas-de-final,,,,,18/11/2021 15:00,Marrakech,Marrocos,5
20,173,,1E,,,2F,,Copa,8vas-de-final,,,,,19/11/2021 11:00,Agadir,Marrocos,5
20,174,,1G,,,2H,,Copa,8vas-de-final,,,,,19/11/2021 15:00,Annaba,Argélia,5
20,175,,1F,,,2E,,Copa,8vas-de-final,,,,,20/11/2021 11:00,Bel Abbès,Argélia,5
20,176,,1H,,,2G,,Copa,8vas-de-final,,,,,20/11/2021 15:00,Rabat,Marrocos,5
20,177,,o1,,,o2,,Copa,4as-de-final,,,,,23/11/2021 11:00,Casablanca,Marrocos,6
20,178,,o3,,,o4,,Copa,4as-de-final,,,,,23/11/2021 15:00,Bel Abbès,Argélia,6
20,179,,o5,,,o6,,Copa,4as-de-final,,,,,24/11/2021 11:00,Algiers,Argélia,6
20,180,,o7,,,o8,,Copa,4as-de-final,,,,,24/11/2021 15:00,Agadir,Marrocos,6
20,181,,q1,,,q2,,Copa,Semi-final,,,,,27/11/2021 15:00,Rabat,Marrocos,7
20,182,,q3,,,q4,,Copa,Semi-final,,,,,28/11/2021 15:00,Algiers,Argélia,7
20,183,,ps1,,,ps2,,Copa,D. 3º Lugar,,,,,01/12/2021 11:00,Annaba,Argélia,8
20,184,,s1,,,s2,,Copa,Final,,,,,02/12/2021 12:00,Casablanca,Marrocos,10
