Ano,Jogo,Data,Time1,desc1,p1,p2,desc2,Time2,Pais,Estadio,tr1,tr2,pe1,pe2,Competição,Fase,peso,p_acu,percent
21,1,09/10/2022 13:00,Bahrein,p1A,,,p2A,Equador,Qatar,Al Khor,,,,,Copa,1ª rodada,3,3,1.10%
21,2,10/10/2022 10:00,Inglaterra,p1B,,,p2B,Irã,Qatar,Al Rayyan KI,,,,,Copa,1ª rodada,3,6,2.21%
21,3,10/10/2022 13:00,Senegal,p3A,,,p4A,Holanda,Qatar,Doha AT,,,,,Copa,1ª rodada,3,9,3.31%
21,4,10/10/2022 16:00,Estados Unidos,p3B,,,p4B,Gales,Qatar,Al Rayyan ABA,,,,,Copa,1ª rodada,3,12,4.41%
21,5,11/10/2022 07:00,Argentina,p1C,,,p2C,Arábia Saudita,Qatar,Al Daayen,,,,,Copa,1ª rodada,3,15,5.51%
21,6,11/10/2022 10:00,Dinamarca,p3D,,,p4D,Tunísia,Qatar,Doha EdCity,,,,,Copa,1ª rodada,3,18,6.62%
21,7,11/10/2022 13:00,México,p3C,,,p4C,Polônia,Qatar,Doha 974,,,,,Copa,1ª rodada,3,21,7.72%
21,8,11/10/2022 16:00,França,p1D,,,p2D,Austrália,Qatar,Al Wakrah,,,,,Copa,1ª rodada,3,24,8.82%
21,9,12/10/2022 07:00,Marrocos,p3F,,,p4F,Croácia,Qatar,Al Khor,,,,,Copa,1ª rodada,3,27,9.93%
21,10,12/10/2022 10:00,Alemanha,p3E,,,p4E,Japão,Qatar,Al Rayyan KI,,,,,Copa,1ª rodada,3,30,11.03%
21,11,12/10/2022 13:00,Espanha,p1E,,,p2E,Costa Rica,Qatar,Doha AT,,,,,Copa,1ª rodada,3,33,12.13%
21,12,12/10/2022 16:00,Bélgica,p1F,,,p2F,Canadá,Qatar,Al Rayyan ABA,,,,,Copa,1ª rodada,3,36,13.24%
