Ano	Jogo	Data	Time1	desc1	p1	p2	desc2	Time2	Pais	Estadio	Grupo	tr1	tr2	pe1	pe2	Competição	Fase	peso	p_acu	percent
23	1	04/11/2023 10:00		p1A-EUR			p2A-EUR		Ucrânia	Kiev	A-EUR					Taça Europa	1ª rodada	1	1	0.17%
23	2	04/11/2023 10:00		p1B-EUR			p2B-EUR		Ucrânia	Carcóvia	B-EUR					Taça Europa	1ª rodada	1	2	0.34%
23	3	04/11/2023 13:00		p1C-EUR			p2C-EUR		Ucrânia	Kiev	C-EUR					Taça Europa	1ª rodada	1	3	0.51%
23	4	04/11/2023 13:00		p1D-EUR			p2D-EUR		Ucrânia	Carcóvia	D-EUR					Taça Europa	1ª rodada	1	4	0.68%
23	5	04/11/2023 16:00		p1E-EUR			p2E-EUR		Ucrânia	Kiev	E-EUR					Taça Europa	1ª rodada	1	5	0.85%
23	6	04/11/2023 16:00		p1F-EUR			p2F-EUR		Ucrânia	Carcóvia	F-EUR					Taça Europa	1ª rodada	1	6	1.02%
23	7	05/11/2023 10:00		p1G-EUR			p2G-EUR		Ucrânia	Kiev	G-EUR					Taça Europa	1ª rodada	1	7	1.19%
23	8	05/11/2023 10:00		p1H-EUR			p2H-EUR		Ucrânia	Carcóvia	H-EUR					Taça Europa	1ª rodada	1	8	1.36%
23	9	05/11/2023 13:00		p1I-EUR			p2I-EUR		Ucrânia	Kiev	I-EUR					Taça Europa	1ª rodada	1	9	1.53%
23	10	05/11/2023 13:00		p1J-EUR			p2J-EUR		Ucrânia	Carcóvia	J-EUR					Taça Europa	1ª rodada	1	10	1.70%
23	11	05/11/2023 16:00		p1K-EUR			p2K-EUR		Ucrânia	Kiev	K-EUR					Taça Europa	1ª rodada	1	11	1.87%
23	12	05/11/2023 16:00		p1L-EUR			p2L-EUR		Ucrânia	Carcóvia	L-EUR					Taça Europa	1ª rodada	1	12	2.04%
23	13	06/11/2023 14:00		p1A-AME			p2A-AME		Trinidad e Tobago	Port of Spain	A-AME					Taça América	1ª rodada	1	13	2.21%
23	14	06/11/2023 14:00		p1B-AME			p2B-AME		Trinidad e Tobago	Couva	B-AME					Taça América	1ª rodada	1	14	2.38%
23	15	06/11/2023 17:00		p1C-AME			p2C-AME		Trinidad e Tobago	Port of Spain	C-AME					Taça América	1ª rodada	1	15	2.55%
23	16	06/11/2023 17:00		p1D-AME			p2D-AME		Trinidad e Tobago	Couva	D-AME					Taça América	1ª rodada	1	16	2.72%
23	17	06/11/2023 20:00		p1E-AME			p2E-AME		Trinidad e Tobago	Port of Spain	E-AME					Taça América	1ª rodada	1	17	2.89%
23	18	06/11/2023 20:00		p1F-AME			p2F-AME		Trinidad e Tobago	Couva	F-AME					Taça América	1ª rodada	1	18	3.06%
23	19	07/11/2023 04:00		p1A-ASO			p2A-ASO		Coréia do Norte	Rungra Island	A-ASO					Taça Ásia-Oceania	1ª rodada	1	19	3.23%
23	20	07/11/2023 04:00		p1B-ASO			p2B-ASO		Coréia do Norte	Pyongyang	B-ASO					Taça Ásia-Oceania	1ª rodada	1	20	3.40%
23	21	07/11/2023 07:00		p1C-ASO			p2C-ASO		Coréia do Norte	Rungra Island	C-ASO					Taça Ásia-Oceania	1ª rodada	1	21	3.57%
23	22	07/11/2023 07:00		p1D-ASO			p2D-ASO		Coréia do Norte	Pyongyang	D-ASO					Taça Ásia-Oceania	1ª rodada	1	22	3.74%
23	23	07/11/2023 10:00		p1A-AFR			p2A-AFR		Egito	Alexandria	A-AFR					Taça África	1ª rodada	1	23	3.91%
23	24	07/11/2023 13:00		p1B-AFR			p2B-AFR		Egito	Alexandria	B-AFR					Taça África	1ª rodada	1	24	4.08%
23	25	07/11/2023 13:00		p1C-AFR			p2C-AFR		Egito	Cairo	C-AFR					Taça África	1ª rodada	1	25	4.25%
23	26	07/11/2023 16:00		p1D-AFR			p2D-AFR		Egito	Alexandria	D-AFR					Taça África	1ª rodada	1	26	4.42%
23	27	07/11/2023 16:00		p1E-AFR			p2E-AFR		Egito	Cairo	E-AFR					Taça África	1ª rodada	1	27	4.59%
23	28	08/11/2023 10:00		p1A-EUR			p3A-EUR		Ucrânia	Kiev	A-EUR					Taça Europa	2ª rodada	1	28	4.76%
23	29	08/11/2023 10:00		p2B-EUR			p3B-EUR		Ucrânia	Carcóvia	B-EUR					Taça Europa	2ª rodada	1	29	4.93%
23	30	08/11/2023 13:00		p1C-EUR			p3C-EUR		Ucrânia	Kiev	C-EUR					Taça Europa	2ª rodada	1	30	5.10%
23	31	08/11/2023 13:00		p2D-EUR			p3D-EUR		Ucrânia	Carcóvia	D-EUR					Taça Europa	2ª rodada	1	31	5.27%
23	32	08/11/2023 16:00		p1E-EUR			p3E-EUR		Ucrânia	Kiev	E-EUR					Taça Europa	2ª rodada	1	32	5.44%
23	33	08/11/2023 16:00		p2F-EUR			p3F-EUR		Ucrânia	Carcóvia	F-EUR					Taça Europa	2ª rodada	1	33	5.61%
23	34	09/11/2023 10:00		p1G-EUR			p3G-EUR		Ucrânia	Kiev	G-EUR					Taça Europa	2ª rodada	1	34	5.78%
