Ano,Jogo,Data,Time1,desc1,p1,p2,desc2,Time2,Pais,Estadio,tr1,tr2,pe1,pe2,Competição,Fase,peso,p_acu,percent
2022,1,20/11/2022 13:00,Bahrein,p1A,,,p2A,Equador,Qatar,Al Khor,,,,,Copa,1ª rodada,3,3,1.10%
2022,2,21/11/2022 10:00,Inglaterra,p1B,,,p2B,Irã,Qatar,Al Rayyan KI,,,,,Copa,1ª rodada,3,6,2.21%
2022,3,21/11/2022 13:00,Senegal,p3A,,,p4A,Holanda,Qatar,Doha AT,,,,,Copa,1ª rodada,3,9,3.31%
2022,4,21/11/2022 16:00,Estados Unidos,p3B,,,p4B,Gales,Qatar,Al Rayyan ABA,,,,,Copa,1ª rodada,3,12,4.41%
2022,5,22/11/2022 07:00,Argentina,p1C,,,p2C,Arábia Saudita,Qatar,Al Daayen,,,,,Copa,1ª rodada,3,15,5.51%
2022,6,22/11/2022 10:00,Dinamarca,p3D,,,p4D,Tunísia,Qatar,Doha EdCity,,,,,Copa,1ª rodada,3,18,6.62%
2022,7,22/11/2022 13:00,México,p3C,,,p4C,Polônia,Qatar,Doha 974,,,,,Copa,1ª rodada,3,21,7.72%
2022,8,22/11/2022 16:00,França,p1D,,,p2D,Austrália,Qatar,Al Wakrah,,,,,Copa,1ª rodada,3,24,8.82%
2022,9,23/11/2022 07:00,Marrocos,p3F,,,p4F,Croácia,Qatar,Al Khor,,,,,Copa,1ª rodada,3,27,9.93%
2022,10,23/11/2022 10:00,Alemanha,p3E,,,p4E,Japão,Qatar,Al Rayyan KI,,,,,Copa,1ª rodada,3,30,11.03%
2022,11,23/11/2022 13:00,Espanha,p1E,,,p2E,Costa Rica,Qatar,Doha AT,,,,,Copa,1ª rodada,3,33,12.13%
2022,12,23/11/2022 16:00,Bélgica,p1F,,,p2F,Canadá,Qatar,Al Rayyan ABA,,,,,Copa,1ª rodada,3,36,13.24%
2022,13,24/11/2022 07:00,Suiça,p3G,,,p4G,Camarões,Qatar,Al Wakrah,,,,,Copa,1ª rodada,3,39,14.34%
2022,14,24/11/2022 10:00,Uruguai,p3H,,,p4H,Coréia do Sul,Qatar,Doha EdCity,,,,,Copa,1ª rodada,3,42,15.44%
2022,15,24/11/2022 13:00,Portugal,p1H,,,p2H,Gana,Qatar,Doha 974,,,,,Copa,1ª rodada,3,45,16.54%
2022,16,24/11/2022 16:00,Brasil,p1G,,,p2G,Sérvia,Qatar,Al Daayen,,,,,Copa,1ª rodada,3,48,17.65%
2022,17,25/11/2022 07:00,Irã,p2B,,,p4B,Gales,Qatar,Al Rayyan ABA,,,,,Copa,2ª rodada,3,51,18.75%
2022,18,25/11/2022 10:00,Bahrein,p1A,,,p3A,Senegal,Qatar,Doha AT,,,,,Copa,2ª rodada,3,54,19.85%
2022,19,25/11/2022 13:00,Equador,p2A,,,p4A,Holanda,Qatar,Al Rayyan KI,,,,,Copa,2ª rodada,3,57,20.96%
2022,20,25/11/2022 16:00,Inglaterra,p1B,,,p3B,Estados Unidos,Qatar,Al Khor,,,,,Copa,2ª rodada,3,60,22.06%
2022,21,26/11/2022 07:00,Austrália,p2D,,,p4D,Tunísia,Qatar,Al Wakrah,,,,,Copa,2ª rodada,3,63,23.16%
2022,22,26/11/2022 10:00,Arábia Saudita,p2C,,,p4C,Polônia,Qatar,Doha EdCity,,,,,Copa,2ª rodada,3,66,24.26%
2022,23,26/11/2022 13:00,França,p1D,,,p3D,Dinamarca,Qatar,Doha 974,,,,,Copa,2ª rodada,3,69,25.37%
2022,24,26/11/2022 16:00,Argentina,p1C,,,p3C,México,Qatar,Al Daayen,,,,,Copa,2ª rodada,3,72,26.47%
2022,25,27/11/2022 07:00,Costa Rica,p2E,,,p4E,Japão,Qatar,Al Rayyan ABA,,,,,Copa,2ª rodada,3,75,27.57%
2022,26,27/11/2022 10:00,Bélgica,p1F,,,p3F,Marrocos,Qatar,Doha AT,,,,,Copa,2ª rodada,3,78,28.68%
2022,27,27/11/2022 13:00,Canadá,p2F,,,p4F,Croácia,Qatar,Al Rayyan KI,,,,,Copa,2ª rodada,3,81,29.78%
2022,28,27/11/2022 16:00,Espanha,p1E,,,p3E,Alemanha,Qatar,Al Khor,,,,,Copa,2ª rodada,3,84,30.88%
2022,29,28/11/2022 07:00,Sérvia,p2G,,,p4G,Camarões,Qatar,Al Wakrah,,,,,Copa,2ª rodada,3,87,31.99%
2022,30,28/11/2022 10:00,Gana,p2H,,,p4H,Coréia do Sul,Qatar,Doha EdCity,,,,,Copa,2ª rodada,3,90,33.09%
2022,31,28/11/2022 13:00,Brasil,p1G,,,p3G,Suiça,Qatar,Doha 974,,,,,Copa,2ª rodada,3,93,34.19%
2022,32,28/11/2022 16:00,Portugal,p1H,,,p3H,Uruguai,Qatar,Al Daayen,,,,,Copa,2ª rodada,3,96,35.29%
2022,33,29/11/2022 12:00,Bahrein,p1A,,,p4A,Holanda,Qatar,Al Khor,,,,,Copa,3ª rodada,4,100,36.76%
2022,34,29/11/2022 12:00,Equador,p2A,,,p3A,Senegal,Qatar,Al Rayyan KI,,,,,Copa,3ª rodada,4,104,38.24%
2022,35,29/11/2022 16:00,Irã,p2B,,,p3B,Estados Unidos,Qatar,Doha AT,,,,,Copa,3ª rodada,4,108,39.71%
2022,36,29/11/2022 16:00,Inglaterra,p1B,,,p4B,Gales,Qatar,Al Rayyan ABA,,,,,Copa,3ª rodada,4,112,41.18%
2022,37,30/11/2022 12:00,França,p1D,,,p4D,Tunísia,Qatar,Doha EdCity,,,,,Copa,3ª rodada,4,116,42.65%
2022,38,30/11/2022 12:00,Austrália,p2D,,,p3D,Dinamarca,Qatar,Al Wakrah,,,,,Copa,3ª rodada,4,120,44.12%
2022,39,30/11/2022 16:00,Argentina,p1C,,,p4C,Polônia,Qatar,Doha 974,,,,,Copa,3ª rodada,4,124,45.59%
2022,40,30/11/2022 16:00,Arábia Saudita,p2C,,,p3C,México,Qatar,Al Daayen,,,,,Copa,3ª rodada,4,128,47.06%
2022,41,01/12/2022 12:00,Bélgica,p1F,,,p4F,Croácia,Qatar,Al Rayyan ABA,,,,,Copa,3ª rodada,4,132,48.53%
2022,42,01/12/2022 12:00,Canadá,p2F,,,p3F,Marrocos,Qatar,Doha AT,,,,,Copa,3ª rodada,4,136,50.00%
2022,43,01/12/2022 16:00,Espanha,p1E,,,p4E,Japão,Qatar,Al Rayyan KI,,,,,Copa,3ª rodada,4,140,51.47%
2022,44,01/12/2022 16:00,Costa Rica,p2E,,,p3E,Alemanha,Qatar,Al Khor,,,,,Copa,3ª rodada,4,144,52.94%
2022,45,02/12/2022 12:00,Portugal,p1H,,,p4H,Coréia do Sul,Qatar,Doha EdCity,,,,,Copa,3ª rodada,4,148,54.41%
2022,46,02/12/2022 12:00,Gana,p2H,,,p3H,Uruguai,Qatar,Al Wakrah,,,,,Copa,3ª rodada,4,152,55.88%
2022,47,02/12/2022 16:00,Brasil,p1G,,,p4G,Camarões,Qatar,Al Daayen,,,,,Copa,3ª rodada,4,156,57.35%
2022,48,02/12/2022 16:00,Sérvia,p2G,,,p3G,Suiça,Qatar,Doha 974,,,,,Copa,3ª rodada,4,160,58.82%
2022,49,03/12/2022 12:00,,1A,,,2B,,Qatar,Al Rayyan KI,,,,,Copa,8vas-de-final,6,166,61.03%
2022,50,03/12/2022 16:00,,1C,,,2D,,Qatar,Al Rayyan ABA,,,,,Copa,8vas-de-final,6,172,63.24%
2022,53,05/12/2022 12:00,,1E,,,2F,,Qatar,Al Wakrah,,,,,Copa,8vas-de-final,6,178,65.44%
2022,54,05/12/2022 16:00,,1G,,,2H,,Qatar,Doha 974,,,,,Copa,8vas-de-final,6,184,67.65%
2022,51,04/12/2022 12:00,,1B,,,2A,,Qatar,Al Khor,,,,,Copa,8vas-de-final,6,190,69.85%
2022,52,04/12/2022 16:00,,1D,,,2C,,Qatar,Doha AT,,,,,Copa,8vas-de-final,6,196,72.06%
2022,55,06/12/2022 12:00,,1F,,,2E,,Qatar,Doha EdCity,,,,,Copa,8vas-de-final,6,202,74.26%
2022,56,06/12/2022 16:00,,1H,,,2G,,Qatar,Al Daayen,,,,,Copa,8vas-de-final,6,208,76.47%
2022,57,09/12/2022 12:00,,w49,,,w50,,Qatar,Al Daayen,,,,,Copa,4as-de-final,7,215,79.04%
2022,58,09/12/2022 16:00,,w53,,,w54,,Qatar,Doha EdCity,,,,,Copa,4as-de-final,7,222,81.62%
2022,59,10/12/2022 12:00,,w51,,,w52,,Qatar,Al Khor,,,,,Copa,4as-de-final,7,229,84.19%
2022,60,10/12/2022 16:00,,w55,,,w56,,Qatar,Doha AT,,,,,Copa,4as-de-final,7,236,86.76%
2022,61,13/12/2022 16:00,,w57,,,w58,,Qatar,Al Daayen,,,,,Copa,Semi-final,8,244,89.71%
2022,62,14/12/2022 16:00,,w59,,,w60,,Qatar,Al Khor,,,,,Copa,Semi-final,8,252,92.65%
2022,63,17/12/2022 12:00,,p61,,,p62,,Qatar,Al Rayyan KI,,,,,Copa,D. 3º Lugar,8,260,95.59%
2022,64,18/12/2022 12:00,,w61,,,w62,,Qatar,Al Daayen,,,,,Copa,Final,12,272,100.00%
