Time	Valor
França	576
Brasil	564
Argentina	552
Alemanha	540
Tcheca	528
Portugal	516
Espanha	505
Sérvia	493
Italia	482
Rússia	472
Bélgica	461
Trinidad e Tobago	450
Croácia	440
Equador	430
Suécia	420
Coréia do Sul	410
Panamá	400
Austrália	391
Ucrânia	381
Nigéria	372
Bulgária	363
Inglaterra	354
Estados Unidos	346
Marrocos	337
Suiça	329
Jamaica	321
Holanda	313
Dinamarca	305
Japão	297
Finlândia	290
Tunísia	282
Camarões	275
Escócia	268
Argélia	261
Polônia	254
Colômbia	247
Irã	241
Uruguai	234
Chile	228
México	222
Hong Kong	216
Gales	210
Costa Rica	204
Arábia Saudita	199
Honduras	188
Costa do Marfim	182
Venezuela	177
Bolívia	172
Fiji	163
Áustria	158
Vietnã	154
Islândia	149
Zâmbia	133
Bósnia	129
Taiti	122
Belarus	118
Hungria	111
Congo	99
Níger	96
Guiné	94
Albania	75
Egito	69
Guatemala	64
Nicarágua	62
Romênia	61
Geórgia	57
Irlanda do Norte	54
Paraguai	50
Angola	48
Vanuatu	48
Moldávia	47
Letônia	44
San Marino	43
Iraque	42
Sudão	42
Chipre	41
África do Sul	41
Bahrein	40
Andorra	40
Liechenstein	40
Ruanda	40
Botsuana	40
