Time,Valor
França,541
Alemanha,529
Brasil,517
Sérvia,505
Argentina,493
Equador,481
Espanha,470
Croácia,458
Rep Tcheca,447
Portugal,437
Bélgica,426
Rússia,415
Austrália,405
Suiça,395
Japão,385
Panamá,375
Suécia,365
Italia,356
Inglaterra,346
Coréia do Sul,337
Escócia,328
Polônia,319
Bulgária,311
Estados Unidos,302
Camarões,294
Colômbia,286
Nigéria,278
Marrocos,270
Holanda,262
Finlândia,247
Irã,240
Jamaica,233
México,226
Chile,219
Hong Kong,206
Ucrânia,199
Argélia,193
Costa do Marfim,175
Trinidad e Tobago,153
Venezuela,147
Fiji,142
Honduras,137
Islândia,133
Vietnã,123
Taiti,119
Congo,106
Mali,90
Zâmbia,87
Quênia,70
Guatemala,53
Malawi,44
Paraguai,36
St Vicente,32
Burkina Faso,26
Líbia,24
São Cristóvão,21
Vanuatu,19
Bolívia,18
Nicarágua,9
Nova Zelândia,9
Ilhas Salomão,8
Bielorússia,7
Letônia,6
Uzbequistão,6
Eslovênia,6
Chipre,5
Albania,83
Geórgia,61
Romênia,59
Níger,30
Chade,22
Guiné,6
Hungria,5
Zimbábue,5
Estônia,5
Armênia,5
Andorra,5
San Marino,5
Dinamarca,255
