ed,pos,time,pontos,u_rank,u_pts,u_ano
20-4,1,Alemanha,1559,0,-263,0
20-4,2,Brasil,1448,0,-73,1
20-4,3,França,1337,0,-97,1
20-4,4,Argentina,1218,0,-214,-2
20-4,5,Rep Tcheca,1207,2,77,20
20-4,6,Croácia,1106,-1,-141,-1
20-4,7,Rússia,1032,7,166,12
20-4,8,Japão,1025,-2,-184,-2
20-4,9,Espanha,1016,-1,-84,-1
20-4,10,Suécia,988,0,-19,1
20-4,11,Italia,974,1,11,2
20-4,12,Sérvia,964,-3,-56,6
20-4,13,Panamá,951,4,119,1
20-4,14,Portugal,888,-3,-112,-7
20-4,15,Escócia,856,-2,-61,9
20-4,16,Colômbia,817,-1,-45,-1
20-4,17,Bulgária,794,1,-36,15
20-4,18,Nigéria,771,1,-44,10
20-4,19,Inglaterra,762,1,-45,-7
20-4,20,Suiça,762,1,-34,-11
20-4,21,Austrália,735,1,-24,6
20-4,22,Finlândia,709,-6,-126,-12
20-4,23,Coréia do Sul,667,1,-34,-3
20-4,24,Polônia,664,-1,-42,-3
20-4,25,Jamaica,653,0,-36,-8
20-4,26,Equador,627,0,-35,-10
20-4,27,Chile,584,0,-24,13
20-4,28,Ucrânia,576,1,0,10
20-4,29,Holanda,544,1,-25,-6
20-4,30,Costa Rica,539,-2,-63,-1
20-4,31,Arábia Saudita,539,0,-11,6
20-4,32,Tunísia,527,2,-5,-1
20-4,33,Camarões,522,0,-10,0
20-4,34,Hong Kong,518,2,-1,15
20-4,35,Costa do Marfim,514,-3,-22,19
20-4,36,Marrocos,506,3,42,8
20-4,37,Argélia,494,7,79,13
20-4,38,Bélgica,480,-3,-42,-16
20-4,39,Irã,469,-1,-1,-5
20-4,40,México,466,-3,-27,-14
20-4,41,Trinidad e Tobago,445,0,-11,1
20-4,42,Honduras,426,0,-5,-3
20-4,43,Venezuela,417,0,-4,-2
20-4,44,Islândia,402,-4,-55,-9
20-4,45,Fiji,395,1,-2,-2
20-4,46,Uruguai,354,-1,-60,-16
20-4,47,Gana,353,0,-15,6
20-4,48,Bósnia,342,0,-15,-12
20-4,49,Estados Unidos,337,0,-18,-4
20-4,50,Israel,269,0,-10,12
20-4,51,Vietnã,259,0,0,1
20-4,52,Lituânia,254,0,-1,18
20-4,53,Irlanda,249,1,-1,-5
20-4,54,Taiti,241,1,-1,30
20-4,55,Dinamarca,231,-2,-22,-9
20-4,56,Gales,228,0,2,55
20-4,57,Congo,215,0,0,31
20-4,58,Egito,208,0,-2,-7
20-4,59,Mali,199,0,-1,21
20-4,60,Zâmbia,197,1,1,12
20-4,61,Peru,195,-1,-4,-14
20-4,62,Senegal,182,0,-4,-7
20-4,63,Albania,179,0,2,-6
20-4,64,Romênia,171,1,2,-6
20-4,65,RD do Congo,164,1,1,14
20-4,66,Paquistão,161,1,-2,-2
20-4,67,Geórgia,160,-3,-12,-11
20-4,68,China,159,0,1,14
20-4,69,Grécia,154,0,-2,9
20-4,70,Guatemala,150,0,-3,-11
20-4,71,Quênia,149,0,-2,-11
20-4,72,Áustria,142,0,-2,24
20-4,73,Coréia do Norte,132,0,-10,0
20-4,74,Paraguai,129,1,0,-9
20-4,75,Eslováquia,128,-1,-2,-12
20-4,76,Malawi,118,1,-1,-15
20-4,77,Angola,117,-1,-3,-10
20-4,78,Moldávia,109,0,-1,-10
20-4,79,Turquia,107,0,0,-8
20-4,80,Cazaquistão,107,0,0,-11
20-4,81,Burkina Faso,97,0,0,-15
20-4,82,Irlanda do Norte,91,0,-1,25
20-4,83,St Vicente,88,0,-3,-9
20-4,84,Líbia,83,0,0,-7
20-4,85,Kwait,82,0,1,8
20-4,86,Níger,81,0,0,-10
20-4,87,Índia,76,0,0,13
20-4,88,Bolívia,63,0,-1,-5
20-4,89,Chade,63,0,0,-8
20-4,90,Canadá,59,0,-3,-4
20-4,91,Noruega,56,0,0,-16
20-4,92,Iraque,49,1,0,-7
20-4,93,Vanuatu,49,1,0,-4
20-4,94,São Cristóvão,49,-2,-1,-3
20-4,95,Sudão,44,0,-1,-3
20-4,96,África do Sul,37,0,-2,-1
20-4,97,Cabo Verde,36,0,0,-7
20-4,98,Benin,35,1,0,-1
20-4,99,Malta,35,-1,-1,-12
20-4,100,Libéria,34,0,0,-2
20-4,101,Uganda,33,0,0,1
20-4,102,Bahrein,31,0,-1,-1
20-4,103,Nicarágua,25,1,0,-9
20-4,104,Nova Zelândia,22,-1,-5,-5
20-4,105,Ilhas Salomão,21,0,-2,-2
20-4,106,Togo,18,0,0,-2
20-4,107,Gabão,17,0,0,-2
20-4,108,Azerbaijão,12,1,0,0
20-4,109,Liechenstein,12,-1,-5,-3
20-4,110,Bielorússia,7,0,-2,-1
20-4,111,Letônia,7,0,-2,-1
20-4,112,Eslovênia,2,0,0,0
20-4,113,Hungria,2,0,0,0
20-4,114,Estônia,2,0,0,0
20-4,115,Zimbábue,1,0,0,0
20-4,116,Andorra,1,0,0,0
20-4,117,Guiné,0,0,0,0
20-4,118,Uzbequistão,0,0,0,1
20-4,119,Macedônia,0,0,0,1
20-4,120,Chipre,0,0,0,-2
20-4,121,Armênia,0,0,0,0
20-4,122,El Salvador,0,0,0,0
20-4,123,Ruanda,0,0,0,0
20-4,124,Botsuana,0,0,0,0
20-4,125,Ilhas Faroe,0,0,0,0
20-4,126,Luxemburgo,0,0,0,0
20-4,127,San Marino,0,0,0,0
