Time,Confederação,c20,c19,c18,c17,c16,c15,c14,c13,c12,c11,c10,c9,c8,c7,c6,c5,c4,c3,c2,c1,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
Alemanha,UEFA,12,3,1,1,24,12,17,e,7,4,1,5,e,e,-,19,10,11,3,2,1,1,1,5,9,10,10,7,2,2,2,3,4,3,3,3,2,1,1,2
Brasil,CONMEBOL,6,17,6,11,4,3,9,1,29,6,9,9,4,1,7,5,6,3,9,5,2,3,3,3,3,1,3,2,6,6,5,1,1,1,2,2,4,2,4,4
França,UEFA,5,10,10,6,2,10,2,9,2,3,2,1,9,-,23,2,4,13,12,6,3,4,2,1,1,4,1,1,1,1,1,2,6,6,5,5,6,7,5,6
Argentina,CONMEBOL,19,6,4,2,e,7,1,e,3,8,3,14,-,26,1,-,18,2,15,e,4,2,5,4,7,2,2,6,3,3,3,7,8,7,6,13,10,9,19,-
Rep Tcheca,UEFA,1,8,22,-,e,-,e,2,e,9,e,-,21,-,28,12,-,24,-,14,5,25,29,39,33,13,7,3,17,17,7,18,35,37,33,27,41,33,27,15
Croácia,UEFA,t,1,11,15,e,22,19,-,22,-,17,e,e,e,-,e,-,e,e,e,6,5,15,27,36,29,31,51,33,33,40,63,-,-,-,-,-,-,-,-
Rússia,UEFA,2,e,18,10,29,11,-,e,e,e,-,29,10,13,6,e,e,-,-,11,7,19,13,16,28,32,50,48,58,58,47,28,21,23,26,45,34,26,22,11
Japão,AFC,t,2,9,26,3,13,23,15,e,e,e,-,31,3,4,11,5,-,-,e,8,6,7,7,5,17,22,21,43,43,41,12,9,8,9,15,17,-,-,-
Espanha,UEFA,11,10,23,3,e,26,20,4,e,22,-,21,11,12,9,-,28,9,13,e,9,8,8,8,22,11,9,11,27,27,22,14,14,15,14,17,13,11,16,-
Suécia,UEFA,9,14,12,9,e,-,e,3,e,-,e,-,18,e,-,19,-,e,-,12,10,11,11,12,35,20,12,8,68,68,55,45,39,43,42,37,34,26,22,11
Italia,UEFA,4,e,42,-,1,19,e,12,18,e,-,18,-,28,3,15,1,4,1,e,11,13,6,6,2,14,20,14,9,9,15,4,2,2,1,1,1,3,3,-
Sérvia,UEFA,17,18,31,4,23,-,24,8,e,e,5,e,-,30,-,26,14,-,-,e,12,18,14,13,24,25,14,15,81,81,79,79,41,40,40,35,29,-,-,-
Panamá,CONCACAF,3,33,13,7,31,-,-,e,14,-,e,-,e,e,e,e,-,29,-,e,13,14,16,22,37,72,57,41,26,26,73,73,24,63,56,55,48,37,-,-
Portugal,UEFA,t,20,5,5,11,2,5,10,12,24,-,24,3,4,10,-,e,-,-,16,14,7,4,2,4,3,5,16,18,18,43,16,13,25,41,60,54,42,29,16
Escócia,UEFA,13,22,3,-,-,-,e,e,9,1,7,8,6,e,-,25,2,1,11,e,15,24,30,77,63,38,30,13,5,5,4,5,5,5,4,4,3,4,15,-
Colômbia,CONMEBOL,27,34,17,12,5,18,-,e,-,28,-,-,27,-,29,3,15,e,e,e,16,15,12,14,20,39,64,53,47,47,48,32,25,22,21,16,28,-,-,-
Bulgária,UEFA,10,9,42,-,15,-,e,13,4,-,e,-,e,-,18,-,25,-,e,e,17,32,36,25,17,27,16,5,8,8,61,58,49,46,45,52,45,-,-,-
Nigéria,CAF,14,29,34,18,e,20,6,11,e,-,25,10,16,10,14,e,-,24,e,e,18,28,24,11,13,7,6,9,44,44,18,23,26,26,38,51,44,35,-,-
Inglaterra,UEFA,t,21,20,13,28,1,e,e,e,11,-,20,1,2,-,27,8,-,20,1,19,12,10,9,14,8,35,28,11,11,9,6,3,4,8,7,5,5,2,1
Suiça,UEFA,30,16,18,20,9,6,-,e,19,e,e,e,e,e,e,-,27,15,10,e,20,9,9,15,12,26,59,49,31,31,54,43,37,32,29,22,18,16,14,-
Austrália,OFC,18,44,15,19,13,15,e,22,13,e,13,16,14,6,-,-,24,7,5,7,21,27,23,20,23,23,25,17,15,15,21,11,11,10,12,9,8,6,7,7
Finlândia,UEFA,t,4,2,-,e,-,3,20,1,7,18,13,e,-,20,-,23,8,e,-,22,10,17,30,18,5,4,4,4,4,11,17,32,27,24,19,16,20,-,-
Coréia do Sul,AFC,t,12,41,28,12,17,11,27,5,e,e,e,-,22,11,6,-,-,21,3,23,20,26,19,10,15,11,19,12,12,44,20,16,14,10,11,20,13,8,3
Polônia,UEFA,29,24,e,8,20,-,7,-,e,21,11,7,13,9,8,9,e,-,17,-,24,21,25,17,27,22,17,39,22,22,10,9,12,13,16,20,36,28,24,-
Jamaica,CONCACAF,t,5,28,-,19,-,27,-,e,-,28,e,e,20,12,-,29,-,18,8,25,17,31,32,25,47,42,71,54,54,49,33,24,21,23,29,24,23,11,8
Equador,CONMEBOL,t,22,16,-,16,25,21,19,e,-,26,e,-,17,13,-,22,12,14,e,26,16,20,24,15,28,27,29,48,48,46,26,20,19,18,18,15,17,18,-
Chile,CONMEBOL,23,40,e,-,e,9,22,20,26,26,4,6,-,17,-,28,7,5,-,9,27,40,38,36,29,12,19,12,14,14,12,10,15,12,11,8,7,10,21,9
Ucrânia,UEFA,20,e,26,-,-,-,e,-,e,e,e,-,25,-,25,1,9,6,e,-,28,38,45,91,92,65,71,63,45,45,42,13,10,9,7,6,14,19,-,-
Holanda,UEFA,e,37,14,-,18,27,29,6,e,-,29,e,e,e,e,e,-,e,e,e,29,23,19,23,11,24,18,18,75,75,74,74,-,-,-,-,-,-,-,-
Costa Rica,CONCACAF,32,7,-,32,e,21,-,e,-,-,e,-,22,-,24,16,13,-,23,-,30,29,73,58,55,42,60,54,65,65,50,37,28,30,27,24,26,43,30,-
Arábia Saudita,AFC,22,15,-,16,29,-,-,e,e,e,-,31,e,-,e,-,-,e,-,e,31,37,47,38,42,84,89,84,79,79,78,78,-,-,-,-,-,-,-,-
Tunísia,CAF,26,30,-,17,32,-,-,30,-,30,e,-,30,e,-,-,32,10,e,e,32,31,37,29,47,53,53,42,60,60,57,49,40,42,39,34,25,24,-,-
Camarões,CAF,t,31,39,-,27,5,-,e,11,25,22,-,29,16,-,22,12,27,6,10,33,33,34,37,30,18,34,26,13,13,24,19,18,17,17,12,12,12,10,10
Hong Kong,AFC,23,35,e,-,26,-,-,e,8,-,27,e,-,e,-,e,-,-,-,e,34,49,59,45,40,75,56,34,21,21,71,71,-,-,-,-,-,-,-,-
Costa do Marfim,CAF,15,-,24,-,-,16,-,e,e,14,-,-,-,-,-,-,-,-,-,-,35,54,44,53,51,35,47,43,36,36,28,54,-,-,-,-,-,-,-,-
Marrocos,CAF,7,47,7,29,-,-,18,-,28,-,-,25,e,e,e,-,30,-,19,15,36,44,35,55,53,43,37,64,49,49,65,65,59,57,53,49,40,32,25,14
Argélia,CAF,8,13,-,-,-,32,e,-,e,e,-,-,-,-,-,-,-,-,-,-,37,50,117,116,116,101,104,102,95,95,95,95,-,-,-,-,-,-,-,-
Bélgica,UEFA,t,26,33,30,14,4,10,-,e,e,e,e,-,e,-,24,-,31,e,e,38,22,18,18,8,9,21,79,76,76,68,68,61,58,54,50,52,40,-,-
Irã,AFC,t,45,40,22,17,29,-,18,e,-,-,e,e,-,-,32,-,-,22,4,39,34,32,26,32,40,36,32,69,69,53,42,36,31,28,21,21,14,9,5
México,CONCACAF,e,39,21,23,7,29,16,17,16,e,-,28,e,-,19,7,-,28,-,e,40,26,22,21,16,31,24,24,23,23,33,35,38,33,30,30,48,37,-,-
Trinidad e Tobago,CONCACAF,t,32,44,-,e,-,8,28,-,32,-,23,-,19,-,30,e,e,-,-,41,42,41,41,38,19,15,25,62,62,60,56,51,49,60,57,-,-,-,-
Honduras,CONCACAF,31,28,38,-,e,29,e,-,30,-,e,e,-,25,e,-,17,e,-,-,42,39,49,49,46,63,70,66,59,59,62,59,50,47,48,41,30,-,-,-
Venezuela,CONMEBOL,28,36,e,-,e,-,e,-,e,10,e,e,e,-,e,-,21,e,e,e,43,41,51,71,72,54,49,57,32,32,26,46,56,53,49,42,31,-,-,-
Islândia,UEFA,t,40,8,31,6,-,-,-,e,e,e,e,-,-,27,-,e,-,-,e,44,35,27,35,31,97,98,95,80,80,77,77,69,66,58,-,-,-,-,-
Fiji,OFC,t,25,25,-,-,-,-,-,30,18,-,-,-,-,-,-,-,-,-,-,45,43,53,107,102,93,87,67,40,40,39,62,-,-,-,-,-,-,-,-
Uruguai,CONMEBOL,e,e,36,25,8,8,4,32,23,-,32,12,7,-,26,8,e,e,e,-,46,30,21,10,6,6,8,27,25,25,25,29,30,40,35,38,-,-,-,-
Gana,CAF,16,-,e,-,10,28,26,23,6,e,-,-,-,-,-,-,-,-,-,-,47,53,40,31,21,33,29,23,19,19,83,83,-,-,-,-,-,-,-,-
Bósnia,UEFA,e,e,e,-,20,14,e,7,-,17,e,e,-,27,-,e,-,e,e,-,48,36,28,28,19,21,26,20,50,50,38,60,64,-,-,-,-,-,-,-
Estados Unidos,CONCACAF,t,e,35,-,e,24,12,5,e,-,e,-,17,7,e,e,e,-,-,e,49,45,33,33,26,16,13,22,72,72,58,50,43,51,-,-,-,-,-,-
Israel,UEFA,t,-,e,-,e,-,15,-,e,e,e,-,e,e,-,18,11,-,e,-,50,62,48,42,39,30,28,77,73,73,59,52,45,41,36,31,27,-,-,-
Vietnã,AFC,t,19,-,-,e,-,-,-,e,-,-,e,e,-,-,-,e,-,-,e,51,52,80,63,60,124,124,124,104,104,104,104,-,-,-,-,-,-,-,-
Lituânia,UEFA,t,-,37,-,-,-,e,-,24,2,e,-,e,e,e,e,-,e,e,-,52,70,58,80,75,52,40,30,10,10,14,36,-,-,-,-,-,-,-,-
Irlanda,UEFA,e,e,-,-,e,-,-,25,-,e,-,26,12,e,-,23,-,-,e,e,53,48,55,44,41,44,38,36,71,71,56,48,46,62,55,54,-,-,-,-
Taiti,OFC,25,-,45,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,54,84,76,103,105,114,113,117,102,102,102,102,-,-,-,-,-,-,-,-
Dinamarca,UEFA,e,e,-,14,e,-,-,23,e,e,-,27,-,21,-,e,-,19,7,e,55,46,39,34,62,45,45,38,66,66,51,38,33,28,32,25,22,18,12,-
Gales,UEFA,21,-,e,-,-,-,e,-,25,12,-,22,e,e,-,e,-,18,2,e,56,111,104,92,80,62,51,37,20,20,17,22,23,20,20,14,11,8,6,-
Congo,CAF,t,-,45,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,57,88,77,84,85,71,67,50,98,98,98,98,-,-,-,-,-,-,-,-
Egito,CAF,t,-,e,24,-,-,e,-,e,e,-,-,-,-,-,-,-,-,-,-,58,51,43,50,88,61,72,80,82,82,80,80,-,-,-,-,-,-,-,-
Mali,CAF,t,-,e,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,59,80,66,70,73,57,63,91,-,-,-,-,-,-,-,-,-,-,-,-
Zâmbia,CAF,t,-,47,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,60,72,60,112,112,92,94,94,89,89,89,89,-,-,-,-,-,-,-,-
Peru,CONMEBOL,e,e,e,27,22,-,-,e,21,-,-,30,28,e,e,e,e,e,e,-,61,47,46,40,34,59,54,46,37,37,75,75,-,-,-,-,-,-,-,-
Senegal,CAF,-,e,-,21,e,-,-,e,e,e,-,-,-,-,-,-,-,-,-,-,62,55,52,43,77,81,85,83,83,83,81,81,-,-,-,-,-,-,-,-
Albania,UEFA,-,e,-,-,e,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,63,57,114,113,113,96,97,99,-,-,-,-,-,-,-,-,-,-,-,-
Romênia,UEFA,-,46,-,-,e,-,-,e,e,e,16,-,e,e,e,e,-,22,4,e,64,58,91,73,71,55,55,55,56,56,34,41,42,39,34,28,23,21,17,-
RD do Congo,CAF,t,-,e,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,65,79,67,90,94,77,79,72,92,92,92,92,-,-,-,-,-,-,-,-
Paquistão,AFC,t,e,29,-,-,-,e,-,e,e,e,-,19,-,32,-,-,e,-,e,66,64,64,104,103,105,100,114,77,77,63,61,54,70,-,-,-,-,-,-
Geórgia,UEFA,-,e,27,-,-,-,13,-,e,e,-,-,e,-,e,e,-,17,e,-,67,56,42,48,45,36,32,85,74,74,64,64,57,54,50,44,33,25,-,-
China,AFC,t,e,-,-,e,-,-,e,-,18,24,-,32,e,-,e,-,e,-,e,68,82,70,54,52,69,68,56,46,46,66,66,72,-,-,-,-,-,-,-
Grécia,UEFA,e,-,e,-,-,23,-,e,-,23,-,19,5,15,15,-,18,-,e,e,69,78,63,61,57,41,48,45,35,35,30,27,22,34,37,-,31,-,-,-
Guatemala,CONCACAF,-,37,-,-,e,-,-,16,-,-,e,e,e,e,e,e,e,e,-,-,70,59,72,57,54,46,41,33,85,85,85,85,-,-,-,-,-,-,-,-
Quênia,CAF,-,27,-,-,e,-,-,-,e,e,-,-,-,-,-,-,-,-,-,-,71,60,101,94,97,109,109,107,100,100,100,100,-,-,-,-,-,-,-,-
Áustria,UEFA,t,-,e,-,-,-,e,14,10,16,6,2,2,5,2,14,-,e,-,13,72,96,74,56,48,34,23,10,7,7,6,8,7,11,15,36,43,34,26,13
Coréia do Norte,AFC,t,e,-,-,e,-,14,-,e,e,-,-,-,-,-,-,-,-,-,-,73,73,61,46,43,37,33,97,90,90,90,90,-,-,-,-,-,-,-,-
Paraguai,CONMEBOL,-,e,32,-,-,-,e,-,e,e,-,17,8,8,-,17,e,-,e,e,74,65,54,97,98,68,73,70,61,61,31,31,27,36,47,40,-,-,-,-
Eslováquia,UEFA,e,-,e,-,-,-,32,-,e,-,30,e,e,e,-,29,3,16,8,e,75,63,50,60,58,48,44,69,53,53,45,25,19,18,13,10,9,15,12,-
Malawi,CAF,-,48,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,61,62,47,44,110,110,108,-,-,-,-,-,-,-,-,-,-,-,-
Angola,CAF,e,-,29,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,77,67,56,81,84,73,76,89,86,86,86,86,-,-,-,-,-,-,-,-
Moldávia,UEFA,e,-,e,-,-,-,e,-,32,-,e,e,-,28,-,e,-,e,e,-,78,68,57,88,89,80,80,78,64,64,72,72,64,60,-,-,-,-,-,-
Turquia,UEFA,-,e,-,-,e,-,-,e,e,-,14,-,20,11,5,10,-,30,e,-,79,71,85,65,64,50,46,40,28,28,23,15,17,16,19,32,48,37,-,-
Cazaquistão,UEFA,-,e,-,-,e,-,-,-,-,-,-,e,-,31,-,-,e,-,e,-,80,69,96,83,81,118,118,116,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,CAF,-,43,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,66,68,52,49,102,105,103,-,-,-,-,-,-,-,-,-,-,-,-
Irlanda do Norte,UEFA,t,-,e,-,-,-,e,-,20,5,e,-,e,e,e,-,e,-,-,e,82,107,93,75,69,51,43,35,16,16,16,40,-,-,-,-,-,-,-,-
St Vicente,CONCACAF,-,e,e,-,-,-,e,-,e,31,20,15,e,e,-,e,e,-,-,e,83,74,95,79,79,76,74,76,52,52,20,44,-,-,-,-,-,-,-,-
Líbia,CAF,-,e,-,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,84,77,115,114,114,98,99,100,93,93,93,93,-,-,-,-,-,-,-,-
Kwait,AFC,e,-,e,-,-,-,-,e,e,27,8,11,e,-,30,-,-,20,-,-,85,93,83,110,107,88,82,58,24,24,13,30,52,48,46,45,37,29,-,-
Níger,CAF,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,76,122,121,121,117,117,115,-,-,-,-,-,-,-,-,-,-,-,-
Índia,AFC,e,-,e,-,-,-,e,-,e,-,-,e,-,e,-,e,-,-,-,e,87,100,92,124,124,123,123,122,103,103,103,103,-,-,-,-,-,-,-,-
Bolívia,CONMEBOL,-,e,e,-,-,-,e,31,-,20,e,-,e,e,e,e,-,21,e,e,88,83,71,78,78,56,52,44,51,51,36,53,53,55,51,47,38,30,-,-
Chade,CAF,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,81,90,76,76,112,112,110,-,-,-,-,-,-,-,-,-,-,-,-
Canadá,CONCACAF,-,e,-,-,e,-,-,e,e,e,19,-,23,-,22,12,-,26,-,-,90,86,75,59,56,78,78,62,55,55,32,34,31,35,31,33,47,36,-,-
Noruega,UEFA,-,e,-,-,e,-,-,e,-,e,10,e,-,24,-,e,-,e,e,e,91,75,65,51,50,64,69,59,57,57,27,51,62,59,-,-,-,-,-,-
Iraque,AFC,e,-,48,-,-,-,25,-,e,e,-,e,-,e,-,e,-,e,-,e,92,85,69,72,74,60,65,92,87,87,87,87,-,-,-,-,-,-,-,-
Vanuatu,OFC,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,89,102,95,95,120,120,119,-,-,-,-,-,-,-,-,-,-,-,-
São Cristóvão,CONCACAF,-,e,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,94,91,103,96,99,99,95,123,-,-,-,-,-,-,-,-,-,-,-,-
Sudão,CAF,e,-,e,-,-,-,-,e,e,e,-,-,-,-,-,-,-,-,-,-,95,92,82,100,101,91,91,82,101,101,101,101,-,-,-,-,-,-,-,-
África do Sul,CAF,e,-,e,-,-,-,e,-,e,e,15,4,e,-,21,-,20,14,16,-,96,95,84,85,86,79,77,68,68,39,19,24,29,24,22,23,19,22,20,-
Cabo Verde,CAF,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,90,79,64,61,111,111,109,-,-,-,-,-,-,-,-,-,-,-,-
Benin,CAF,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,97,123,122,122,119,119,118,-,-,-,-,-,-,-,-,-,-,-,-
Malta,UEFA,-,e,-,-,e,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,99,87,78,62,59,122,122,121,-,-,-,-,-,-,-,-,-,-,-,-
Libéria,CAF,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,98,124,123,123,121,121,120,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,CAF,-,e,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,102,119,118,118,106,108,106,-,-,-,-,-,-,-,-,-,-,-,-
Bahrein,AFC,e,-,e,-,-,-,e,-,e,e,-,-,-,-,e,-,-,e,e,-,102,101,87,93,96,86,86,93,88,88,88,88,-,-,-,-,-,-,-,-
Nicarágua,CONCACAF,-,42,-,-,e,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,103,94,86,67,65,108,103,88,106,106,106,106,-,-,-,-,-,-,-,-
Nova Zelândia,OFC,-,e,-,-,e,-,31,-,e,e,-,e,-,-,17,4,-,e,-,e,104,99,81,66,66,58,61,81,70,70,52,39,34,29,25,26,-,-,-,-
