Time,Confederação,u_pts,wcr,p21,p20,p19,p18,ph,c21,c20,c19,c18,c17,c16,c15,c14,c13,c12,c11,c10,c9,c8,c7,c6,c5,c4,c3,c2,c1,r21,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
África do Sul,CAF,72,85,0,0,0,24,4,-,e,-,e,-,-,-,e,-,e,e,15,4,e,-,21,-,20,14,16,-,97,96,95,84,85,86,79,77,68,68,39,19,24,29,24,22,23,19,22,20,-
Albania,UEFA,471,77,0,0,140,0,0,-,-,e,-,-,e,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,63,63,57,114,113,113,96,97,99,-,-,-,-,-,-,-,-,-,-,-,-
Alemanha,UEFA,5762,10,364,224,392,472,696,5,12,3,1,1,24,12,17,e,7,4,1,5,e,e,-,19,10,11,3,2,2,1,1,1,5,9,10,10,7,2,2,2,3,4,3,3,3,2,1,1,2
Andorra,UEFA,0,123,0,0,0,0,0,-,-,-,e,-,-,-,-,e,-,e,e,-,e,e,-,e,-,e,e,-,125,116,116,109,106,109,107,102,87,105,105,105,105,-,-,-,-,-,-,-,-
Angola,CAF,254,65,0,0,0,100,4,-,e,-,29,-,-,-,e,-,e,-,-,-,-,-,-,-,-,-,-,-,76,77,67,56,81,84,73,76,89,86,86,86,86,-,-,-,-,-,-,-,-
Arábia Saudita,AFC,1537,56,32,152,144,0,236,29,22,15,-,16,29,-,-,e,e,e,-,31,e,-,e,-,-,e,-,e,37,31,37,47,38,42,84,89,84,79,79,78,78,-,-,-,-,-,-,-,-
Argélia,CAF,1455,90,0,216,180,0,0,-,8,13,-,-,-,32,e,-,e,e,-,-,-,-,-,-,-,-,-,-,41,37,50,117,116,116,101,104,102,95,95,95,95,-,-,-,-,-,-,-,-
Argentina,CONMEBOL,4048,6,220,92,360,308,652,9,19,6,4,2,e,7,1,e,3,8,3,14,-,26,1,-,18,2,15,e,5,4,2,5,4,7,2,2,6,3,3,3,7,8,7,6,13,10,9,19,-
Armênia,UEFA,0,94,0,0,0,0,0,-,-,-,e,-,-,-,-,e,-,e,e,e,e,-,e,e,-,e,-,e,120,121,121,118,117,117,104,107,105,97,97,97,97,-,-,-,-,-,-,-,-
Austrália,OFC,2621,26,160,208,60,136,356,17,18,44,15,19,13,15,e,22,13,e,13,16,14,6,-,-,24,7,5,7,13,21,27,23,20,23,23,25,17,15,15,21,11,11,10,12,9,8,6,7,7
Áustria,UEFA,348,50,0,64,0,0,20,-,t,-,e,-,-,-,e,14,10,16,6,2,2,5,2,14,-,e,-,13,68,72,96,74,56,48,34,23,10,7,7,6,8,7,11,15,36,43,34,26,13
Azerbaijão,UEFA,22,106,0,0,0,0,16,-,-,e,-,-,e,-,-,-,-,-,-,-,e,e,e,-,e,-,-,e,108,108,108,100,89,93,113,114,111,-,-,-,-,-,-,-,-,-,-,-,-
Bahrein,AFC,59,72,0,0,0,16,4,31,e,-,e,-,-,-,e,-,e,e,-,-,-,-,e,-,-,e,e,-,101,102,101,87,93,96,86,86,93,88,88,88,88,-,-,-,-,-,-,-,-
Bélgica,UEFA,2748,43,324,0,124,168,268,6,t,26,33,30,14,4,10,-,e,e,e,e,-,e,-,24,-,31,e,e,12,38,22,18,18,8,9,21,79,76,76,68,68,61,58,54,50,52,40,-,-
Benin,CAF,90,113,0,0,28,0,0,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,98,97,123,122,122,119,119,118,-,-,-,-,-,-,-,-,-,-,-,-
Bielorússia,UEFA,8,67,0,0,0,0,4,-,-,-,e,-,-,-,-,e,17,e,e,-,26,-,e,-,e,-,e,-,110,110,109,97,74,70,49,39,31,30,30,70,70,63,-,-,-,-,-,-,-
Bolívia,CONMEBOL,124,68,0,0,0,40,8,-,-,e,e,-,-,-,e,31,-,20,e,-,e,e,e,e,-,21,e,e,89,88,83,71,78,78,56,52,44,51,51,36,53,53,55,51,47,38,30,-,-
